developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,total_reviews,total_positive,total_negative,positive_percentual,metacritic,is_free,price_initial (USD),label_positive,release_year
['Nementic Games'],['rokaplay'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",0,9,['windows'],True,92,86,6,93.5,0,False,7.99,1,
['XSGames'],['XSGames'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Indie', 'Strategy']",0,5,"['windows', 'mac']",True,1,0,1,0.0,0,False,3.99,0,
['Marco Hirschfeld'],['Marco Hirschfeld'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Family Sharing']","['Action', 'Adventure', 'Indie']",0,15,['windows'],True,5,5,0,100.0,0,False,4.99,1,
['Antique Gear Games'],['Antique Gear Games'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",['Action'],0,23,['windows'],True,32,32,0,100.0,0,False,1.99,1,
['Bandsoft'],['Aerosoft GmbH'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']","['Casual', 'Simulation']",0,43,['windows'],True,14,10,4,71.4,0,False,19.99,0,
['Evil Empire'],['Ubisoft'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Action', 'Adventure', 'Early Access']",0,49,['windows'],True,567,490,77,86.4,0,False,19.99,1,
['Little Nous Studio'],['Little Nous Studio'],"['Single-player', 'Family Sharing']",['Indie'],0,0,"['windows', 'mac', 'linux']",True,1,0,1,0.0,0,False,5.99,0,
['Marginalact'],['Marginalact'],"['Single-player', 'Steam Achievements', 'Family Sharing']",['Action'],0,10,['windows'],True,3,1,2,33.3,0,False,9.99,0,
['PiHoEntertainment'],['Yin Games'],"['Single-player', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",0,0,['windows'],True,522,510,12,97.7,0,False,0.99,1,
['Latte Games JSC'],['Latte Games JSC'],"['Single-player', 'Family Sharing']","['Casual', 'Indie']",0,0,['windows'],True,3,3,0,100.0,0,False,2.99,1,
['NGUYỄN MINH HÙNG'],['NGUYỄN TRUNG ĐỨC'],"['Single-player', 'Steam Achievements', 'Family Sharing']",['Indie'],0,0,['windows'],True,3,1,2,33.3,0,False,1.99,0,
['Cool Studios'],['Cool Studios'],"['Single-player', 'Family Sharing']",['Casual'],0,0,['windows'],True,1,1,0,100.0,0,False,2.99,1,
['EMIKA_GAMES'],['EMIKA_GAMES'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Family Sharing']","['Adventure', 'Indie', 'Simulation']",0,6,['windows'],True,157,129,28,82.2,0,False,6.99,1,
['Aeon Soul Interactive'],['Aeon Soul Interactive'],"['Single-player', 'Full controller support', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",0,0,['windows'],True,1,0,1,0.0,0,False,7.99,0,
"['Skaar Game Productions', 'Numme']",['Skaar Game Productions'],"['Single-player', 'Captions available', 'Family Sharing']","['Adventure', 'Indie']",0,17,['windows'],True,33,30,3,90.9,0,False,11.99,1,
['Roc Studios'],['Roc Studios'],"['Single-player', 'Partial Controller Support', 'Family Sharing']","['Action', 'Indie', 'Early Access']",0,0,['windows'],True,2,2,0,100.0,0,False,2.99,1,
['Marvellous Soft'],['Marvellous Soft'],"['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play Together', 'Family Sharing']","['Casual', 'Indie', 'Strategy']",0,38,"['windows', 'mac', 'linux']",True,21,20,1,95.2,0,False,4.99,1,
['PGco'],['PGco'],"['Single-player', 'Family Sharing']","['RPG', 'Early Access']",0,0,"['windows', 'linux']",True,5,2,3,40.0,0,False,1.0,0,
['totomel'],['Dieselmine'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Family Sharing']","['Indie', 'RPG']",0,15,['windows'],True,8,2,6,25.0,0,False,16.99,0,
['IdeaCompound'],['IdeaCompound'],"['Single-player', 'Full controller support', 'Family Sharing']","['Casual', 'Indie']",0,0,['windows'],True,1,0,1,0.0,0,False,0.99,0,
['キラ☆タマ'],"['072 Project', 'News']","['Single-player', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'RPG']",0,0,['windows'],True,17,15,2,88.2,0,False,19.99,1,
